onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
4	5	0.0	48.0	37.0	17.0	7.5	clip_1
44	6	29.5	3.0	25.5	67.0	47.0	clip_2
71	6	4.5	52.5	42.5	20.0	4.5	clip_3
118	8	3.0	49.5	38.5	16.0	0.5	clip_4
142	7	4.0	56.0	28.5	7.5	0.0	clip_5
168	5	3.5	57.5	26.0	8.5	0.0	clip_6
201	8	8.0	92.0	96.5	6.0	0.0	clip_7
232	6	12.0	46.5	40.0	19.0	5.0	clip_8
267	8	1.0	48.5	43.0	13.5	3.5	clip_9
308	7	0.5	50.5	47.5	14.5	9.5	clip_10
341	10	4.0	13.0	16.0	55.5	49.5	clip_11
404	9	2.0	60.0	67.5	18.0	9.5	clip_12
440	8	4.0	4.0	53.5	61.0	36.5	clip_13
473	7	2.0	22.0	64.0	14.5	14.5	clip_14
510	9	7.0	7.0	7.0	20.0	30.0	clip_15
547	4	9.5	91.5	69.0	15.0	18.5	clip_16
596	9	42.0	30.5	81.5	43.0	36.0	clip_17
638	6	11.0	0.0	41.0	59.5	47.0	clip_18
662	5	21.0	0.0	82.5	82.5	50.0	clip_19
690	8	6.5	0.0	30.5	17.5	7.5	clip_20
720	7	7.0	7.0	40.5	24.5	19.0	clip_21
750	8	11.5	7.5	28.0	20.5	16.0	clip_22
777	5	19.5	10.5	15.5	32.5	22.5	clip_23
799	5	13.5	49.5	44.0	22.5	22.5	clip_24
