onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
2	6	0.0	65.0	46.0	7.0	0.0	clip_1
23	5	20.0	29.5	29.5	23.5	12.5	clip_2
66	6	11.0	6.0	11.0	55.5	47.5	clip_3
85	7	56.0	4.5	34.0	55.0	51.0	clip_4
106	6	16.5	0.0	31.5	83.5	51.0	clip_5
124	6	20.5	87.0	46.5	21.5	15.0	clip_6
148	6	6.0	26.5	49.5	60.0	24.0	clip_7
170	10	7.0	48.0	55.5	25.0	14.5	clip_8
195	10	11.5	0.0	52.5	82.0	56.0	clip_9
238	8	19.0	14.0	61.0	49.5	18.0	clip_10
264	8	54.5	0.0	71.5	88.0	49.0	clip_11
294	9	30.5	0.0	88.5	90.5	57.5	clip_12
335	8	57.5	0.0	84.0	92.5	58.5	clip_13
359	5	6.5	48.5	48.5	48.5	48.5	clip_14
395	6	0.0	51.5	51.5	51.5	3.0	clip_15
