ID	OpenNeuroID	Age	Gender	Student or not (Yes=1)	1. Major	2. Undergraduate/graduate student	3. Favorite subject before college	4. Leisure time spent on reading (4-point scale ranging from [none of my time reading] to [a lot of my time reading]	5. Reading for school (hr)	6. Reading NOT for school (hr)	"7. Books/materials read at home vs. at school (1-[yes], 2-[no])"	8. Books/materials read at home	9. Reading on eBook devices (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on computers/laptops (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on smartphones(5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent texting friends R2	10. Time spent playing games online (5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent watching TV (5-point scale ranging from [none] to [>5 (hrs)])	11. Favorite times to read	12. Where you read	13. Hours per week reading: Need to know information (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Interest or curiosity (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Relaxation or ‘escape’ (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Others (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	14. Examples for other purposes of reading	15. Preferred genre	16. Frequency: Sharing what you read (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from others (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from libraries (4-point scale ranging from [never or hardly ever] to almost every day])	17. Categories of reading for enjoyment	"18. Reading habits: Like hard, challenging books (4-point Likert scale ranging from [true for me] to [not true for me])"	18. Reading habits: Make pictures in my mind (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Don’t like reading difficult (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Enjoy different countries (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn difficult things (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn interesting topics (4-point Likert scale ranging from [true for me] to [not true for me])	19. I like reading (4-point Likert scale ranging from [very true of me] to [not true of me])	20. Reading is (4-point Likert scale ranging from [very easy for me] to [very hard for me])	A LittleVery Little. Knowledge about Astronomy (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Engineering (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Environment (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Mathematics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Physics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Technology (Very Much-point Likert scale ranging from [very little] to [very much])
2101	29	23	F	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	<2 (hrs)	<2 (hrs)	<2 (hrs)	2-3 (hrs)	none	<2 (hrs)	Before falling asleep	In bed	11-15 (hrs)	6-10 (hrs)	3-5 (hrs)	n/a	n/a	books	almost every day	never or hardly ever	never or hardly ever	"(auto)biography, poetry, short stories, romance, fantasy/mysteries, comics/humor"	Somewhat  untrue for me	True for me	Somewhat true for me	True for me	True for me	True for me	Very true of me	kind of easy for me	A little	Very little	Moderate	Moderate	Very little	Moderate
2102	30	31	F	0	n/a	n/a	n/a	n/a	n/a	4	Yes	"geography, novels, scientific readings"	n/a	<2 (hrs)	<2 (hrs)	none	none	<2 (hrs)	Whenever I can	Anywhere I can	6-10 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	news	movies	once or twice a month	never or hardly ever	once or twice a month	"drama, science, nature and environment"	Somewhat true for me	True for me	Not true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true of me	kind of easy for me	A little	A lot	A lot	A lot	A lot	Moderate
2003	31	20	F	1	n/a	Undergraduate student	chemistry	some of my time reading	2	2	Yes	"magazines, novels"	None	None	<2 (hrs)	<2 (hrs)	none	<2 (hrs)	"Lunchtime, Before falling asleep"	"In school, At the library, On the bus, In a car or truck, In the living room or family room, In bed"	3-5 (hrs)	<2 (hrs)	6-10 (hrs)	<2 (hrs)	n/a	movies	once or twice a month	once or twice a month	once or twice a month	"romance, fantasy/mysteries"	Not true for me	Somewhat true for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Very true of me	kind of easy for me	A little	Very little	A little	Moderate	Moderate	Moderate
2104	32	30	M	0	Linguistics	n/a	n/a	n/a	n/a	n/a	n/a	n/a	<2 (hrs)	2-3 (hrs)	3-5 (hrs)	2-3 (hrs)	none	>5 (hrs)	Whenever I can	On the bus	<2 (hrs)	3-5 (hrs)	3-5 (hrs)	n/a	n/a	plays	once or twice a week	once or twice a month	never or hardly ever	"thrillers, drama, short stories, history, romance, comics/humor"	Somewhat  untrue for me	True for me	Somewhat true for me	Somewhat  untrue for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true of me	kind of easy for me	Very little	Very little	Very little	Very little	Very little	A little
2005	33	29	F	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	<2 (hrs)	3-5 (hrs)	2-3 (hrs)	<2 (hrs)	none	<2 (hrs)	"In the evening, Before falling asleep, Whenever I can"	"On the bus, In bed, Anywhere I can"	>15 (hr)	6-10 (hrs)	6-10 (hrs)	n/a	n/a	movies	once or twice a week	once or twice a week	once or twice a month	"drama, short stories, science fiction, romance, fantasy/mysteries, comics/humor"	True for me	Somewhat true for me	Somewhat  untrue for me	True for me	True for me	True for me	Very true of me	very easy for me	A little	A little	A little	A little	A little	Moderate
2006	34	33	M	0	Applied psychology	n/a	n/a	n/a	n/a	3	Yes	Tech blogs; fiction; comics	<2 (hrs)	3-5 (hrs)	<2 (hrs)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"short stories, science, science fiction, comics/humor, filmmaking"	Somewhat true for me	True for me	Somewhat  untrue for me	Somewhat true for me	True for me	True for me	Somewhat true of me	kind of easy for me	Very little	A little	Moderate	Moderate	Moderate	A lot
2007	35	26	F	1	public international law	Graduate student	English	some of my time reading	5	4	No	n/a	<2 (hrs)	>5 (hrs)	>5 (hrs)	2-3 (hrs)	none	none	In the evening	"In school, At the library, In front of a computer or TV"	>15 (hr)	>15 (hr)	>15 (hr)	n/a	n/a	movies	once or twice a week	once or twice a month	once or twice a month	"short stories, history, fantasy/mysteries, comics/humor"	Not true for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	True for me	Somewhat true for me	Somewhat true of me	kind of easy for me	A little	A little	Moderate	A little	A little	Moderate
2008	36	25	F	1	computer technology	Graduate student	Chinese	some of my time reading	2	1	Yes	magazines; novels	None	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	none	<2 (hrs)	"During school, In the evening"	"In school, At the library, In the living room or family room"	6-10 (hrs)	3-5 (hrs)	3-5 (hrs)	<2 (hrs)	information about fitness	plays	once or twice a month	never or hardly ever	once or twice a month	"sports, (auto)biography, short stories, history, nature and environment"	Somewhat  untrue for me	True for me	Somewhat true for me	True for me	True for me	True for me	Somewhat true of me	kind of easy for me	Very little	Very little	A little	A little	A little	A little
2009	37	23	F	1	n/a	Graduate student	math	very little of my time reading	8	1.5	Yes	"biology, traditional Chinese medicine, enterainment"	<2 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	none	2-3 (hrs)	"Lunchtime, In the evening, Before falling asleep"	"In school, At the library, On the bus, In the kitchen, In the living room or family room, In the bathroom, In front of a computer or TV"	>15 (hr)	3-5 (hrs)	3-5 (hrs)	<2 (hrs)	n/a	movies	never or hardly ever	once or twice a month	once or twice a month	"(auto)biography, short stories, history, comics/humor"	Not true for me	Somewhat true for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true of me	kind of easy for me	Very little	A little	A little	Moderate	Moderate	Moderate
2010	38	31	F	0	Electronic Engineering	n/a	n/a	n/a	n/a	at least 1 hour	Yes	"books related with education theories, education psychology, physical education for middle school; magazines"	None	<2 (hrs)	<2 (hrs)	none	none	none	"In the evening, Before falling asleep, Whenever I can"	"In school, On the bus, In front of a computer or TV, In bed"	<2 (hrs)	n/a	<2 (hrs)	<2 (hrs)	"reading for tests, lesson plans, writing academic papers"	books	once or twice a week	once or twice a month	once or twice a month	"sports, (auto)biography, short stories, history"	Somewhat  untrue for me	True for me	Somewhat  untrue for me	Somewhat true for me	True for me	True for me	Somewhat true of me	kind of easy for me	A little	A little	A little	A little	A little	Moderate
