onset	duration	condition_name	trial_type	stim_name	one_back	train_test	subj_resp	imagert	imagery_scene	imagery_pos
2.100000074278796e-06	12.001557499999763	0	0	Fix	0	0	0	0	0	0
12.001556900000196	2.0015764999998282	544234	2	A neat and tidy bedroom with a wooden bed	0	1	0	0	0	0
15.000015000000076	2.0015097000000424	532565	2	A boy and a girl eating pizza slices	0	1	0	0	0	0
18.00018480000017	2.0015184999997473	363483	1	images\train2017\000000363483.jpg	0	2	0	0	0	0
20.999968900000113	2.001615799999854	434488	2	A tall building has a clock on each side	0	1	0	0	0	0
23.999937000000045	2.0014765999999327	573142	2	A little girl with a big white teddy bear	0	1	0	0	0	0
27.000148699999954	2.001451299999644	491665	2	A lady playing with a Frisbee on a beach	0	1	0	0	0	0
30.000115499999993	2.001452199999676	142941	2	A bird reaches into a cup to take a drink	0	1	0	0	0	0
33.00012800000013	2.001525799999854	142941	2	A bird reaches into a cup to take a drink	1	0	1	0	0	0
36.00023310000006	2.0015410999999403	70426	1	images\train2017\000000070426.jpg	0	2	0	0	0	0
39.00002309999991	2.0014870999998493	16764	2	A small dog standing inside a car	0	2	0	0	0	0
42.00035509999998	2.0015056000002005	424960	1	images\train2017\000000424960.jpg	0	1	0	0	0	0
45.00009010000031	2.0016507000000274	0	0	Fix	0	0	0	0	0	0
48.000247800000125	2.0014052999999876	501527	1	images\train2017\000000501527.jpg	0	1	0	0	0	0
51.00049820000004	2.001586700000189	292888	1	images\train2017\000000292888.jpg	0	2	0	0	0	0
54.00002930000028	2.001487499999712	320336	2	A person carrying a long board on a beach	0	1	0	0	0	0
57.00033220000023	2.0016814000000522	105504	1	images\train2017\000000105504.jpg	0	1	0	0	0	0
60.00022220000028	2.0015012999997452	25232	1	images\train2017\000000025232.jpg	0	1	0	0	0	0
63.00043670000014	2.0016104999999698	315160	1	images\train2017\000000315160.jpg	0	1	0	0	0	0
66.00023450000026	2.001516399999673	321841	1	images\train2017\000000321841.jpg	0	1	0	0	0	0
68.99996349999992	2.001509100000021	14160	2	A few elephants among a group people	0	1	0	0	0	0
72.00004930000023	2.001519599999938	349794	2	A large trucks sits on a gravel road	0	1	0	0	0	0
75.00009790000013	2.0015575000002173	0	0	Fix	0	0	0	0	0	0
78.00032340000007	2.001488800000061	432636	1	images\train2017\000000432636.jpg	0	1	0	0	0	0
81.00032510000028	2.0015799000002517	120125	1	images\train2017\000000120125.jpg	0	1	0	0	0	0
84.00045040000032	2.0014446000000135	143256	1	images\train2017\000000143256.jpg	0	1	0	0	0	0
87.00040930000023	2.0015165999998317	176509	1	images\train2017\000000176509.jpg	0	2	0	0	0	0
90.00031720000015	2.0015275000000656	70434	1	images\train2017\000000070434.jpg	0	1	0	0	0	0
